,album links,album titles,artists,review titles,reviews
0,14705966,Rainbow Sign,Ron Miles,아버지를 보내는 론 마일스(Ron Miles)의 잔잔한 연주,"50대 후반이 되어 가는 트럼페터 론 마일스도 이제 중견 연주자로 자신의 위치를 확실히 잡고 있다. 연주와 밴드 사운드, 타고난 작곡 능력까지 모든 것이 완벽한데 이상하게 저평가된 아티스트이다. 쉽게 구분이 되지는 않지만, 최근에는 트럼펫보다 초기 재즈 시절 연주되던 코넷을 주로 연주하고 있다. 크기는 트럼펫보다 조금 작지만, 음색은 더 어둡고 부드럽다. 물론 두 악기 모두 날렵하고 선명한 금관악기 특유의 톤을 가지고 있지만, 코넷의 깊은 맛은 특별하다. 그래서인지 론 마일스의 신보를 듣고 있으면 모든 연주가 물 흐르듯 편안하고 따뜻하다.

2017년에 발표한 전작 [I Am A Man]에서 함께 한 이 시대 최고의 연주자들이 다시 모였다. 영혼의 파트너라고 할 수 있는 기타리스트 빌 프리셀, 현 재즈 피아노의 시대정신을 대표하는 제이슨 모란, 묵직한 베이시스트 토마스 모건, 그리고 환상적인 드러머 브라이언 블레이드까지 멤버 모두 리더의 중량감이 느껴지는 거장들이다. 그러고 보니 오넷 콜맨과 아버지 듀이 레드맨의 자취가 담긴 올드 앤 뉴 드림스를 향한 앨범 [Still Dreaming]에서 조슈아 레드맨과 함께 프론트를 책임진 코넷 연주자도 론 마일스였다. 총 9곡이 수록되어 있는데 특정한 곡을 따로 타이틀로 할 필요 없이 고른 완성도를 지녔다.

첫 곡 ‘Like Those Who Dream’의 도입부가 다소 프리하게 흐르지만 워밍업 후 정상 궤도에 오른 마라톤 주자처럼 중반부터는 선두권을 유지한 채 멤버 모두 뛰기 시작한다. 특히 선두를 격려하는 빌 프리셀의 기타는 누가 리더인지 헷갈릴 정도로 연주를 이끌어 나간다. ‘Queen Of The South’도 적당한 템포로 좀 더 욕심을 낼만한데도 오버하지 않고 끝까지 감정을 유지한 채 연주한다. ‘Rainbow Sign’에 이어 연주되는 ‘The Rumor’는 딱 빌 프리셀 스타일 연주이고 ‘Custodian Of The New’, ‘Binder’는 론 마일스의 코넷이 짜임새 있게 연주된다.

반려동물이 죽으면 무지개다리를 건넜다고 한다. 사람에게는 쓰지 않지만 [Rainbow Sign]는 론 마일스가 2018년 여름 사망한 아버지를 간호하며 만들었다고 한다. 흔한 말로 산 사람을 살아가야 하는 것처럼 큰 감정의 기복 없는 잔잔한 연주가 아버지를 보내는 론 마일스의 마음이 아닐까 한다. - 벅스가 선정한 2020년 10월 이달의 앨범 선정 작품."
1,20351388,Agüita,Gabriel Garzón-Montano(가브리얼 가르존-몬타노),"올해 가장 인상적인 블랙뮤직 앨범, 가브리엘 가르존-몬타노(Gabriel Garzon-Montano)","소울/훵크 싱어송라이터 가브리엘 가르존-몬타노(Gabriel Garzon-Montano)의 두 번째 정규작 [Aguita]는 올해 가장 인상적인 블랙뮤직 앨범 중 한 장이다. 가르존-몬타노의 음악은 근본적 의미로서의 얼터너티브 알앤비라 할만하다. 앨범엔 현재 정립된 얼터너티브 알앤비 프로덕션, 이른바 피비알앤비(PBR&B/*필자 주: 이 장르에 대한 설명은 올댓장르 코너의 ‘알앤비 4부 - 얼터너티브 알앤비’로 대신한다.)로 대표되는 스타일의 범주가 아니라, 신선하고 전위적인 알앤비/소울이 담겼다.

전반적으로 미니멀한 사운드 소스와 절제미를 갖춘 스트링이 조합하여 주조된 프로덕션과 우아하게 녹아드는 가르존-몬타나의 보컬이 절묘하게 어우러졌다. 첫 곡 ‘Tombs’부터 범상치 않다. 건조하고 외로운 듯 떨어지는 피아노에 이어 연주가 순차적으로 덧입혀지며 긴장감을 형성하더니, 2/3 지점에 이르러 이전까지의 무드와 화합할 생각이 없어 보이는 일렉 기타 리프가 난입하여 약간의 온기마저 앗아가며 마무리된다. 앞서 언급한 장점이 고스란히 드러난 프로덕션, 그 위에서 비선형적으로 나아가는 가르존-몬타나의 매력적인 보컬, 그런 가운데 형성된 감정을 건드리는 멜로디 라인까지, [Aguita]의 장점을 집약해놓은 곡들인 ‘Fields’와 ‘Moonless’도 감흥을 곱씹게 한다.

가르존-몬타나는 본작을 통해 죽음, 사랑, 이별에 관해 시적인 가사로 노래했다. 어머니의 죽음 앞에서 느낀 절망감, 헤어진 이가 다른 이와 새로운 사랑을 시작한 걸 알았을 때의 혼란스러움 등등, 그가 경험 속에서 건져올려 탁월하게 표면화한 주제가 본작의 몰입감을 더욱 높인다. 그러니 2017년 [Jardin]에서 느낀 짜릿함을 기억하는 이도, 광합성 무드 충만한 커버 아트워크에 이끌려온 이도, 믿고 들어보시라. 42분 남짓한 시간이 전혀 아깝지 않을 것이다. - 벅스가 선정한 2020년 10월 이달의 앨범 선정 작품."
2,14358434,Fake It Flowers,beabadoobee,락 전성기를 추억하게 되는 반가운 앨범,"비바두비의 데뷔 앨범 [Fake It Flowers]는 그런지와 슬래커 락, 슈게이즈와 팝 펑크 등 1990년대 얼터너티브 락 전성기를 추억하는 이들에게 매우 반가운 작품이 될 것이다. 베드룸 팝의 유망주라는 평가를 받았던 데뷔 EP [Patched Up](2018)과 돌연 강렬한 일렉트릭 기타 팝 스타일로 선회했던 두번째 EP [Space Cadet](2019) 사이에서 후자 쪽으로 확실한 방향성을 잡았다. 너바나(Nirvana)와 페이브먼트(Pavement)의 유물인 음산하고 지글거리는 리프에 많은 빚을 지고 있기는 하지만, 앨범은 또한 1990년대 얼터너티브 락의 전성기가 그 어느 때보다 여성 뮤지션들의 활약이 두드러진 시대였음을 상기시킨다.

크랜베리스(The Cranberries)와 매지 스타(Mazzy Star)의 환영을 불러내는 달콤한 슈게이즈 기타 팝 ‘Care’와 ‘Dye It Red’, 나탈리 임브룰리아(Natalie Imbruglia)의 ‘Torn’에서 영감을 훔쳐온 매혹적인 버블그런지 트랙 ‘Worth It’, 홀(Hole)과 베루카 솔트(Veruca Salt)의 냉소적인 걸크러쉬 락을 재현하는 ‘Charlie Brown’과 ‘Together’ 같은 곡들이 그렇다. [In Utero] 앨범의 음침하고 헤비한 서사를 한 곡으로 응축한 듯한 ‘Sorry’와 웅장한 구성미가 돋보이는 사이키델릭 드림 팝 ‘Horen Sarrison’, 소닉 유스(Sonic Youth)의 실험적인 노이즈 락에 도전하는 ‘Yoshimi, Forest, Magdalene’은 이 스무살 소녀의 비범한 창작력에 더욱 기대할만한 여지를 남긴다.

(당장에 빌보드 싱글 차트만 훑어봐도 알 수 있는 것처럼) 기타 연주 중심의 팝 음악이 고전을 면치 못하고 있는 시대이기에 이러한 도전적인 신인 뮤지션의 등장은 매우 흥미롭다. 최근 몇 년간 사커 마미(Soccer Mommy)와 스네일 메일(Snail Mail), 찰리 블리스(Charly Bliss)가 소환해낸 1990년대 그런지/얼터너티브 락 시대에 대한 향수와 동경이 다시금 새로운 유행을 불러올 것이라는 기대감을 갖게 하는 작품이다. - 벅스가 선정한 2020년 10월 이달의 앨범 선정 작품."
3,14705637,Portals,Sub Focus(서브 포커스) & Wilkinson(윌킨슨),2020년 전자음악씬에서 꽤 의미 있는 앨범,"결론부터 정리하면, 2020년 전자음악씬에서 꽤 의미 있는 앨범이 나왔다. 물론 대중성을 놓고 본다면 아쉬운 부분이 있다. 장르 자체가 드럼 앤 베이스를 기반으로 만들어졌기 때문이다. 그러나 당신이 전자음악에 조금이라도 관심 두는 이라면, 올해 꼭 들어야 할 작품 중에 하나라고 말하고 싶다. 서브 포커스(Sub Focus)는 이미 드럼 앤 베이스에서 한 획을 그은 뮤지션이다. 그리고 윌킨슨(Wilkinson)은 기대에 걸맞은 등장을 하진 못했으나, 여전히 가능성이 충분한 뮤지션이라고 보면 된다.

같은 소속사였던 이 둘은 의기투합했고, 그 결과가 [Portals]로 탄생하게 된 것이다. 일단 앨범의 통일된 흐름을 한 단어로 표현한다면 ‘서정적’이다. 드럼 앤 베이스라고 말하기엔 얌전하고, 리퀴드 펑크라고 말하기엔 보컬에서 공격성을 갖지 않는다. 장르가 가진 특유의 리듬을 최대한 평화로운 감상의 온도로 끌어냈다는 게 가장 가까운 설명일 것이다. 그만큼 이 앨범의 음향은 확실한 색채를 가졌다.

세계적인 스튜디오 ‘리얼 월드(Real World)’에서 작정하고 만들어낸 소리는 컴퓨터 음악과 리얼 악기들을 효과적으로 배합하며 드럼 앤 베이스가 가진 사운드스케이프를 좀 더 넓은 공간으로 확장한다. 건강한 드럼 앤 베이스가 이런 소리라고 할까. 들으면 들을수록 장르가 가진 기존의 톤들과는 다른 맛을 선사한다. 새로운 것을 원하는 이들에게 이 앨범은 충분히 자극을 줄 것이다. 벅스가 선정한 2020년 10월 이달의 앨범 선정 작품."
4,993687,Ohms,Deftones(데프톤즈),"혁신 그 자체, 데프톤스의 [Ohms]","20년 넘는 커리어에서 단 한 장도 실망을 주지 않은 밴드가 있다? 거짓말 같지만 사실이다. 데프톤스라는 결정적인 증거가 있기 때문이다. 나는 데프톤스가 1995년 [Adrenaline]을 발표하고 뉴 메탈 신에 등장한 바로 그 순간 그들의 음악을 처음 들었다. 그들의 음악에 홀딱 빠져버린 나는 이후 계속해서 그들의 정규작을 구입하고 있다.

알려진 것처럼 에이징 커브란 운동선수에게만 찾아오는 것이 아니다. 예술가 역시 그로부터 자유로울 수 없다. 하지만 데프톤스는 “법칙엔 예외가 있음”을 몸소 알려준 밴드였다. 9월 25일 발매된 따끈따끈한 데프톤스의 신보를 들었다. 여러 번 돌려 들었다. 다시 이들의 음악에 놀랐다. 놀라운 송라이팅에, 포스트 메탈-드림 팝-뉴 메탈을 자유자재로 가로지르는 장르 확장성에, 표현력에. 모든 요소에 감탄했다. 기억해보자. 언제나 데프톤스는 도전에 인색하지 않은 팀이었다.

포스트 메탈과 얼터너티브 락의 숨은 교집합을 찾아낸 전작 [Gore](2016)는 어땠나?하나의 형식 안에 자리 잡았다 싶을 무렵 치노(Chino)와 동료 멤버들은 과감하게 과거와 절연했고 밴드를 미래로 내던졌다. 이번 앨범에서도 과감함이 돋보이는 트랙이 여럿 보인다. 앰비언트 뮤직의 기운이 느껴지는 ‘Pompeji’가 그런 트랙. 크라프트베르크(Kraftwerk)와 펠리컨(Pelican)이 만났다고 해도 좋을 만큼 혁신 그 자체다.

라디오헤드만 ‘코페르니쿠스적 전회’를 한 것이 아니다. 헤비니스 장르에서도 그렇게 한 팀이 있다. 계속해서 사운드를 증강하고 보폭을 넓힌 팀이다. 데프톤스다. 힙스터를 대변하는 웹진 ‘피치포크’는 이들의 신보 [Ohms]에 7.6점(10점 만점)이라는 호의적인 평가를 내렸다. 잠깐 인용해본다. “데프톤스의 아홉 번째 앨범은 가장 가혹하고도 가장 부드러운 자극에 마음껏 빠져들도록 하며, ‘데시벨’로 논할 차원을 넘어선 국면에 이르렀다.” - 벅스가 선정한 2020년 10월 이달의 앨범 선정 작품."
5,20345894,Time for the Dancers,Russell Malone(러셀 말론),"스윙감 넘치는 기타리스트, 러셀 말론(Russell Malone)","재즈 기타는 2가지 스타일이 있다. 전통을 중시하는 모던 재즈 파와 일렉트릭 요소를 대거 수용한 퓨전 재즈 파가 있다. 아무래도 기타라는 악기가 락의 메인 악기이다 보니 퓨전 재즈 기타리스트가 사랑을 많이 받는 편이다. 그래서 팻 메스니, 존 스코필드, 알 디 메올라의 인기는 40년 넘게 이어지고 있다. 하지만 재즈 기타는 그 이전부터 연주되어 왔고 명인들이 있다. 베니 굿맨과 함께 연주해 재즈 기타의 시작 찰리 크리스찬과 유럽 재즈의 거장 장고 라인하르트가 있다. 이들을 시작으로 모던재즈에서 케니 버렐, 탈 팔로우, 조 패스, 그랜트 그린, 허브 엘리스 등 명연을 펼쳤다.

퓨전 재즈의 득세로 밥 스타일이 주춤했지만 1990년대 들어 모던재즈의 부활을 주장하며 신진 기타리스트 대거 등장했다. 그중 단연 손꼽히는 기타리스트가 러셀 말론이다. 러셀 말론의 활동은 20대 중반 오르가니스트 지미 스미스 밴드에서 연주하면서부터이고 1990년대 재즈의 신세대로 평가받으면 함께 활동한 해리 코닉 주니어, 다이애나 크롤과 함께 연주했다. 아마 러셀 말론의 이름이 재즈 팬에게 각인된 건 다이애나 크롤의 3집으로 냇 킹 콜 트리오에 헌정하는 앨범 [All for You: A Dedication to the Nat King Cole Trio]에서 기타를 연주했을 때이다. 스윙감 넘치는 기타 연주에서 대가의 포스가 느껴졌고 이후 대 선배 레이 브라운 트리오, 동료 피아니스트 베니 그린과 함께 멋진 앨범을 발표했다.

[Time for the Dancers]는 러셀 말론의 가장 최근작으로 2017년에 발표된 앨범이다. 세션은 전작부터 함께한 피아노에 릭 저먼스 등 3명과 쿼텟 편성으로 연주하는데 정말 빈틈없는 이상적인 재즈 사운드를 들려준다. 그리고 팝적인 편곡 덕분인지 무겁지 않게 들을 수 있다. 자신의 창작곡을 4곡이나 연주했고 선곡에서도 유명 스탠더드보다 앨범 타이틀에 어울리는 춤과 어울리는 자유로운 선곡과 연주가 편안하다.

앨범 타이틀 곡인 ‘Time for the Dancers’는 로랜드 한나가 1977년에 발표한 발라드로 재즈에서 잘 연주되지 않는 곡을 적당한 템포가 너무나 멋지게 연주한다. 영원한 뉴요커 빌리 조엘의 차분한 노래 ‘And So It Goes’는 원곡의 분위기를 살려 기타 독주로 연주하고 있다. 호세 펠리치아노가 불러 1970년 중반 미국에서 사랑받은 시트콤 의 주제곡도 흥겹게 연주한다. 벅스가 선정한 2020년 9월 이달의 앨범 선정 작품."
6,14527548,Zeros,Declan McKenna(데클란 맥케나),21살 청년의 탁월하고 비범한 재능 [Zeros],"데클린 맥케나의 음악을 한 문장으로 표현하자면 글램 락 시대의 향수를 힙스터적인 감성으로 풀어낸 얼터너티브 팝 정도로 요약할 수 있겠다. 데이빗 보위(David Bowie)와 퀸(Queen), 비틀스(The Beatles) 등 전설적인 대선배 뮤지션들의 추억을 불러내고 블러(Blur)와 리버틴스(The Libertines)로 이어진 브릿 팝의 계보 또한 관통하고 있으며 동시대 라이벌로 꼽을 수 있는 해리 스타일(Harry Styles)의 신세대적인 감성의 매력 또한 아우른다.

이 21살 청년의 탁월하고 비범한 재능은 그러한 다양한 레퍼런스를 창의적으로 조합해내고 풍성한 서사를 만들어낸다는데 있다. 경쾌하면서도 감미로운 파워 팝 오프닝 ‘You Better Believe!!!’와 사이키델릭한 웅장함을 뽐내는 스페이스 락 오페라 ‘Be an Astronaut’과 ‘Daniel, You're Still a Child’, 낭만적인 서프 락과 반항적인 펑크 락이 절묘하게 교차하는 ‘Twice Your Size’ 등 훌륭한 트랙들에서 그러한 창작력은 빛을 발한다. 서사적 완성도보다는 메시지의 힘이 강하게 느껴졌던 데뷔 앨범보다 모든 면에서 일취월장한 결과물이다.

규율과 일탈 사이에서 방황하는 청춘의 자화상을 그려낸 ‘The Key to Life on Earth’와 소셜 미디어 의존적인 사회에 대한 문제의식을 제기하는 ‘Beautiful Faces’, 직접적인 실명까지 거론하며 정치적 비판의 목소리를 높이는 ‘Rapture’와 기후 변화의 위험성을 경고하는 ‘Sagittarius A*’ 등 한층 음악적 스케일을 넓히면서도 깨어있는 신세대의 대변인으로서 날카로운 주제 의식 또한 견지한다. 음악적으로 훌륭한 완성도 뿐만 아니라 앨범에 짙게 드리운 디스토피아적 세계관을 통해 코로나 팬데믹 시대에 유의미한 질문을 던지는 문제작이자 걸작이다. 벅스가 선정한 2020년 9월 이달의 앨범 선정 작품."
7,14462518,King's Disease,Nas(나스),명성을 다시 회복할만한 완성도 있는 앨범,"2018년, 카니예 웨스트(Kanye West)가 주도했던 여러 아티스트와의 합작 프로젝트, 일명 ‘와이오밍 세션(Wyoming Sessions)’에서 가장 화제를 모은 건 나스(Nas)와의 작업이었다. 두 거장의 공동작업은 나스의 열두 번째 정규작 [Nasir]로 귀결됐다. 나스가 제목에 본명의 성까지 내세웠을 만큼 야심을 보인 작품이었지만, 아쉽게도 완성도는 평범했다. 이후, 나스 역시 인터뷰를 통해 당시의 제한된 작업 시간과 곡수 탓에 만족스럽지 않은 결과물이 나왔다고 밝힌 바 있다. 그로부터 약 2년 만에 발표한 열세 번째 정규작 [King's Disease]는 다행히 그의 명성을 다시금 회복할만한 완성도를 보여준다.

앨범의 제목에선 언뜻 팬데믹 시대의 영향이 느껴지지만, 주된 주제는 오늘날 흑인 사회가 겪는 부당한 차별 및 폭력을 비판하고, 흑인의 자긍심을 고취하는 것이다. ‘블랙’을 키워드로 비교적 짧지만, 강렬하게 이미지를 심는 가사의 랩이 돋보인 'Ultra Black'과 '27 Summers' 등은 대표적인 예다. 이는 나스가 데뷔 이래 한번도 놓지 않은 주제지만, 근 몇 년 사이 흑인들을 대상으로 한 백인 경찰의 야만적인 행위가 잇따르는 미국 사회의 현실이 겹쳐져서 ‘90년대 초반 못지않은 울림을 준다.

앨범 완성도의 기복은 있었을지언정 랩은 언제나 뛰어났던 나스는 이번에도 명성에 걸맞은 랩을 쏟아부었다. 그리고 그 곁에서 총프로듀서 히트보이(Hit-Boy)가 양질의 비트를 제공했다. ‘90년대부터 2010년대까지의 힙합을 아우르는 그는 확실히 [King's Disease]가 나스의 커리어에서 의미있는 작품 중 하나가 되는데 큰 역할을 했다. 트랩 비트 위로 건조하고 이물감이 느껴지는 신스가 얹혀서 은근한 긴장감이 조성된 '27 Summers'라든지 둥둥 거리는 퍼커션과 관악이 절묘하게 맞물린 '10 Points' 등은 단연 하이라이트다. 26년 전, 세기의 힙합 클래식을 내놓았던 불세출의 래퍼 나스는 여전히 최상위 레벨의 랩을 장착하고 우리의 취향을 성공적으로 공략한다. 벅스가 선정한 2020년 9월 이달의 앨범 선정 작품."
8,20345593,Inner Song,Kelly Lee Owens,"전반은 우아하게, 후반은 거칠게 !","웨일스의 소녀 켈리 리 오웬스(Kelly Lee Owens)의 두 번째 정규 앨범. 이미 데뷔작 [Kelly Lee Owens](2017)로 씬의 적지 않은 주목을 받았기에, 오랜만에 발표한 신보에 대해 소포모어 징크스를 걱정하기보단 반가운 마음이 더 앞서는 게 사실이다. 물론 [Inner Song]은 이러한 기대에 부응하는 작품이다. 전작 대비 콘셉트가 더욱 확실하게 표현됐는데, 이번 앨범에서 그녀는 테크 하우스와 아트 팝, 이 두 가지를 집중적으로 다룬다. 두 개의 장르는 마치 분단된 국가의 모습을 보는 것처럼, 트랙별로 교차해 놓으며 리스트가 짜였다.

일단 앨범의 청사진을 알고 싶다면 ‘On’ 한 곡만 들으면 된다. 전반은 우아하게, 후반은 거칠게 다룬 타이틀곡은 이 음반을 함축했다고 말해도 어색하지 않다. 그다음부터는 ‘On’에 대한 상세한 풀이이자 앨범 타이틀 명에 대한 안내를 돕는다. 내적 자아에 대해 분리해놓은 곡들은 ‘Melt!’, ‘Jeanette’ ‘Flow’ 같은 테크 하우스 진영과 ‘Re-Wild’, ‘L.I.N.E’, ‘Corner Of My Sky ft. John Cale’ 같은 아트 팝으로 나뉘며 치열하게 싸운다.

물론 장르가 달라도 어둡게 표현된 곡들의 색채는 곡들을 하나의 앨범으로 만들어주는 포인트. 장르에 대한 접근, 앨범에 대한 구성 등 어느 것 하나 가볍게 지나친 것이 없는 작품이다. 벅스가 선정한 2020년 9월 이달의 앨범 선정 작품."
9,20347684,연가,공중그늘,하나의 ‘장르 정체성’을 고집하지 않는 공중그늘의 [연가],"공중그늘 음악의 강점은 스스로도 언급했던 “적당한 거리두기”에 있다. 적절한 감정선을 유지하되, 그에 함몰되거나 잡아먹히지 않는다는 의미일 것이다. EP [공중그늘](2018)에서도 그랬고. 정규 1집 [연가]도 크게 다르지 않다. 오해를 피해야 한다. 감정으로부터 거리를 둔다는 게 언제나 옳다는 이야기는 아니니까. 나는 정서에 취한 명반 리스트를 수백 개도 넘게 꾸릴 수 있다. 중요한 건 팀 컬러에 어울리는 사운드 운용이다. 이들의 음악은 모던 락, 사이키델릭, 드림 팝, 신스 팝 등 다양한 장르로 분기된다. 하나의 ‘장르 정체성’을 고집하지 않는다. 영민한 전술이다.

피시만즈(Fishmans)를 필두로 떠오르는 여러 레퍼런스들 역시 이들의 영민한 전술을 빛내주기 위한 도구이다. 살짝살짝 비껴가는 비트와 가사와 미묘하게 엇나가는 연주도 다분히 의도된 결과물이다. 잘 들어보면 이들은 ‘앨범’이라는 ‘거대한 건축물’을 건설하는 것에도 별 관심이 없는 것 같다. 콘셉트 구축에 대한 열망이 없다. 이들이 주목하는 건 그보다는 무드의 조성과 변화다. 저 어수선하게 보이는 트랙 속에 진실이 있다.

밴드는 붓으로 물감을 뿌리듯 악기를 정렬하고 사운드를 배치한다. ‘계절’로부터는 안개처럼 깔린 복고 톤 신스를 확인할 수 있다. 사운드는 경쾌함과 멜랑콜리함 사이에서 자유롭게 운동한다. 갑작스레 ‘연가’로 넘어가면 1970년대 후반 포스트 펑크와 덥을 만나게 된다. 그러다 ‘역’에서 마주하게 되는 건 직선적인 락 음악이다. 만화경이 떠오른다. [연가]이 뛰어난 이유는 잡다함 속에서 질서를 잃지 않는다는 데 있다. 좋은 락 밴드라면 마땅히 송라이팅과 연주를 통해 그런 통제력을 증명할 수 있어야 한다. 공중그늘은 훌륭하게 해냈다. 그들의 음악을 들어야 하는 이유다. 벅스가 선정한 2020년 9월 이달의 앨범 선정 작품."
