,album titles,artists,review titles,reviews
0,WELCOME BACK,iKON,YG 대형신인 아이콘의 하프 데뷔앨범,"B.I(리더, 랩), 김진환(보컬), BOBBY(랩), 송윤형(보컬), 구준회(보컬), 김동혁(보컬), 정찬우(보컬)으로 구성된 2015년을 대표하는 괴물 신인 아이콘의 하프 데뷔 앨범이다. YG는 2014년 신인 위너를 공개한지 1년만에 또 다른 신인 아이돌 그룹을 공개했다. 2013년 케이블 채널 Mnet 서바이벌프로그램 '윈(WIN)'에서 WIN A팀은 위너가 됐고, WIN B팀은 2014년 '믹스앤매치(MIX & MATCH)'를 통해 다른 연습생들과 또 다시 데뷔를 놓고 경합을 펼쳤는데, 결국 7명의 멤버로 '아이콘'이 탄생됐고, 2015년 9월 데뷔 싱글 '취향저격'으로 전격 데뷔하기에 이르렀다. '취향저격'은 발매하자마자 각종 음원 사이트 실시간 1위를 점령하며 데뷔와 동시에 화제에 올랐으며 하프 앨범 발매시 타이틀곡은 '지못미' 또한 신세대를 겨냥한 노래제목과 '취향저격'과는 또 다른 진지한 감성을 담아내어 큰 사랑을 받았다. '쇼 미 더 머니 3'를 통해 이미 화제를 모으며 아이콘의 초반 인기 질주에 큰 영향을 주었던 두 래퍼 B.I와 BOBBY 래퍼 유닛이 부른 '이리 오너라'와 트렌디한 미디움 힙합 트랙 '리듬 타'도 추천할만한 트랙이다."
1,Confident (Deluxe Edition),Demi Lovato(데미 로바토),"솔직하고 당당한 컴백, 데미 로바토 [Confident]","2000년대 후반에서 2010년대 초반까지 전세계 팝 시장에서 가장 큰 손은 트윈(Tween) 세대였다. 흔히 10~14세 사이의 아이들을 말하는 이 세대는 수많은 팝 스타들을 자신들의 노력과 지지로 키워냈을 뿐 아니라 음악적인 트렌드를 만들어내는 기민함까지 보였다. 이제 어느덧 10대 중후반에서 20대 초반이 된 이 세대들에게 2015년은 매우 특별한 해가 될 것이다. 그들의 힘으로 슈퍼스타 자리에 오른 저스틴 비버(Justin Bieber), 셀레나 고메즈(Selena Gomez), 닉 조나스(Nick Jonas), 조 조나스(Joe Jonas) 등의 영 스타들이 앞다투어 신보를 발표한 해였고, 게다가 어느덧 모두 20대가 된 이들이 더욱 성숙해진 음악으로 돌아와 자신의 나이와 어울리는 사운드를 선보이고 있다는 점에서 더 특별한 마음을 들게 할 것이다. 그리고 물론 다섯 번째 스튜디오 앨범 [Confident]로 당당하게 컴백한 데미 로바토를 이 리스트에서 빠트릴 수 없을 것이다.

수많은 아역 배우들을 스타덤에 올려놓은 디즈니 채널(Disney Channel)의 <캠프 록(Camp Rock)>에 출연하며 스타덤에 올랐던 데미 로바토는 2008년의 [Don’t Forget], 2009년의 [Here We Go Again], 2011년의 [Unbroken] 그리고 2013년의 [Demi] 등 네 장의 앨범을 연달아 빌보드 앨범 차트 Top 5에 진입시키며 배우보다는 가수로서의 커리어에 더 집중하는 모습을 보였다. 덕분에 마일리 사이러스(Miley Cyrus)의 [Bangerz]나 셀레나 고메즈의 근작인 [Revival]에 비해 성인 아티스트로 인정받는 과정은 비교적 손쉬웠다고 할 수 있으나 그녀가 극복해야 하는 것은 ‘슬픈 발라드를 부르는 소녀’라는 이미지였다. 수줍고 어두운 이미지에 슬픈 노래를 부르는 소녀라는 느낌은 그녀가 그 동안 해왔던 록 음악이나 일렉트로팝과는 거리가 있지만, 실제로 데미 로바토의 사생활들은 그러한 이미지를 더욱 고착시켰고 이를 극복하는 것이 성인 아티스트로서의 그녀가 풀어야 할 첫 번째 숙제였다고 할 수 있다. 그런 의미에서 2015년에 공개되는 그녀의 다섯 번째 스튜디오 앨범 [Confident]는 ‘자신감’이라는 선언적인 타이틀만큼이나 큰 의미로 다가온다. 특히 이번 앨범은 그녀가 닉 조나스와 함께 시작한 <세이프하우스 레코드(Safehouse Records)>를 통해 공개되는 첫 작품이기도 하고, 전과는 다른 스타일의 음악을 시도하면서 자신의 음악적인 스펙트럼을 넓히고 있다는 점에서 매우 새롭게 다가온다. 또한 [Confident] 앨범은 정말 간발의 차이로 아쉽게 정상을 밟지는 못했지만 2015년 11월 7일자 빌보드 앨범 차트 2위로 데뷔하며 5장 연속 Top 5 데뷔라는 기록을 이어가며 대중들의 식지 않은 지지를 확인하기도 했다. 다소 평범한 이미지로 또래의 스타들에 비해 수수한 느낌을 주기는 했지만 음악적인 역량으로는 최고의 인정을 받았던 그녀이기에 튼튼한 하드웨어로 풀어놓는 23살의 데미 로바토의 이야기가 왠지 더 가깝게 느껴지는 것도 어쩔 수 없는 일이다.

앨범의 오프너이자 두 번째 싱글로 차트에서 급상승 중인 ‘Confident’는 데미 로바토가 새로운 이미지를 만들어내기 위해 만든 노력이 집결되어 있는 트랙이라 할 수 있다. 카니예 웨스트(Kanye West) 느낌의 인트로에서 브라스와 드럼이 만들어내는 육중한 사운드가 펼쳐지고 거기에 단단한 그녀의 보컬이 얹혀지며 만들어내는 충만한 에너지는 곡에서 표현해내고자 했던 자신감 넘치는 강한 여성상을 확실하게 보여주는 도구가 되어준다. ‘자신감 갖는 것에 무슨 문제라도 있어?’라고 반복하는 코러스는 선명한 후크를 남기며 강렬함을 더하고, 이는 자연스레 설명이 필요 없는 톱 프로듀서 맥스 마틴(Max Martin)에 대한 감탄으로 이어지게 된다. 케이티 페리(Katy Perry), 테일러 스위프트(Taylor Swift) 뿐 아니라 장르불문 어떤 아티스트라도 함께 작업하고 싶어하는 프로듀서로 손꼽히는 그는 [Confident]의 첫 번째 싱글인 ‘Cool For The Summer’에도 참여하며 데미 로바토의 자신감 넘치는 환골탈태를 도왔다. 캐치한 피아노 루프가 화려하게 펼쳐지면서 라디오 친화적인 매력을 뿜어내는 이 곡은 앨범 내에서도 가장 섹시하고 성숙한 메시지와 만듦새로 2015년 여름에 시즌 송으로 큰 사랑을 받았다. 섹시한 신스의 일렉트로 팝이 세상에서 가장 독특한 사운드라고 말하긴 어렵지만 그간 진지한 면만 부각된 그녀에게 삶과 선택의 자유를 노래하는 ‘Cool For The Summer’는 변신을 위한 최상의 선택이었다고 확신한다. 노래 전반에 펼쳐지는 성에 대한 도발적인 화두는 그녀에게도 새로운 도전이었고, 2015년 9월 19일자 빌보드 싱글 차트 11위에 오르는 준수한 성적을 거두긴 했지만 예열이 좀 더 빨리 되었더라면 여름 시장에서 훨씬 더 근사한 모습을 보여주지 않았을까 하는 아쉬움이 남기도 한다. 한편 트랩과 덥스텝을 시도하면서 힙합에 대한 실험을 보여주는 ‘Old Ways’는 지난 과오에서 벗어나 다시는 되풀이하지 않겠다는 자신에 대한 다짐이 담긴 곡으로 그녀의 근래의 행보를 돌아볼 때 자전적인 메시지를 전하고 있음을 알 수 있다. 반면 [Demi] 앨범의 연장선처럼 여겨지기도 하는 ‘For You’는 ‘80년대 스타일의 신스가 펼쳐지는 파워풀한 록 발라드로 데미 로바토의 전매특허와 같은 화려하고 강력한 고음 보컬이 등장하며 속이 뻥 뚫리는 듯한 카타르시스를 선사한다.

[Confident] 내에서 가장 정통한 스타일의 발라드를 꼽자면 앨범 발매 전에 선공개되어 큰 사랑을 받았던 ‘Stone Cold’를 꼽을 수 있을 것이다. 피아노가 주도하며 가스펠 느낌의 웅장한 사운드를 빚어내는 이 곡은 이별한 남자의 행복을 비는 여자의 마음을 완벽하게 표현해내는 데미 로바토의 노래에 대한 이해력이 단연 빛난다. 디즈니 출신이라는 이유로, 혹은 예쁘장한 얼굴을 가졌다는 이유로 그녀의 재능을 폄하하는 이들마저도 아무런 이의를 제기하기 어려울 것이라는 확신이 들 정도로 ‘Stone Cold’에서 들려주는 데미 로바토의 보컬은 빼어난 완성도를 보여준다. 차기 싱글 컷이 예상되는 ‘Kingdom Come’은 쿨한 비트가 인상적인 트랩 힙합 곡으로 매력적인 브레이크다운이 오랫동안 여운을 남기는 넘버이다. ‘Fancy’로 빌보드 싱글 차트 정상을 밟은 후 아리아나 그란데(Ariana Grande)의 ‘Problem’에 참여하여 연타석 홈런을 때려낸 이기 아젤리아(Iggy Azelea)가 예의 걸쭉한 랩 보컬을 들려주는 이 곡은 그녀가 리타 오라(Rita Ora)와 함께 했던 ‘Black Widow’가 떠오를 정도로 대중적인 터치가 짙게 더해져 있어 깊은 인상을 남긴다. 같은 여성 래퍼가 참여한 곡이지만 LA 출신의 사이라(Sirah)가 힘을 실어준 ‘Waitin For You’는 R&B적인 감각이 좀 더 부각되며 다른 질감의 즐거움을 선사한다. 안티들 혹은 그녀의 인생을 가로막는 무리들에 대한 강렬한 펀치를 날리는 이 곡은 사이라의 분노에 가득 찬 랩이 더해지면서 더할 나위 없이 성공적인 프로덕션을 보여준다. 그런가 하면 라이언 테더(Ryan Tedder)가 작곡, 그리고 스타게이트(StarGate)가 함께 프로듀스에 참여한 ‘Wildfire’는 꿈 속을 걷는 듯 드리미한 신스 멜로디에 유니크한 감성을 더해 전혀 새로운 감각을 더한다. 스모키한 느낌의 소울 팝 넘버로 정의하기에는 아쉬움이 남을 만큼 다면적인 매력을 품고 있는 이 곡은 고음의 비중을 줄여 단조로운 구성이 될 수 있었음에도 불구하고 타이트하게 보컬 프로덕션을 꾸려냄으로써 앨범 내에서도 단연 돋보이는 트랙이 될 수 있었다.

‘80년대 감성이 듬뿍 담긴 ‘Lionheart’는 달콤하고 순수한 감정이 오히려 색다른 톤으로 다가오는 곡으로 드럼 사운드가 효과적으로 쓰이며 가슴을 울리는 감동을 선사하는 트랙이다. 마치 과거의 데미 로마토와 현재의 그녀가 합의점을 찾은 듯한 느낌이 드는 이 곡은 팬들과 자신을 지켜주는 사람들에 대한 감사를 담은 노래로 클래식한 로맨티시즘마저 물씬 풍기며 [Confident] 앨범의 중반을 든든히 받쳐주는 역할을 톡톡히 해낸다. 반면 같은 러브 송임에도 불구하고 ‘Yes’는 좀 더 솔직하고 사랑스러운 감정을 부각시킨 R&B 넘버이다. 6년째 안정적인 관계를 유지하고 있는 남자친구 윌머 발더라마(Wilmer Valderrama)에게 바치는 헌사로 추측되는 이 노래는 긍정적이고 유쾌한 에너지를 열정적으로 뿜어내는 데미 로바토의 보컬에 탄복하게 되리라 확신한다. 하지만 보컬리스트로서 그녀를 가장 잘 평가할 수 있는 곡은 ‘Father’일 것이다. 그녀와 6년간 소원하게 지내다가 지난 2013년 암으로 돌아가신 아버지에 대한 이 곡은 섬세한 오케스트레이션에 담긴 진실된 이야기가 진한 감동을 선사한다. 특히 가스펠 풍의 후렴구에 담긴 절절한 이야기는 데미 로바토의 가장 개인적인 삶과 맞닿아 형용할 수 없는 깊이의 감정을 전해주는데, 절규에 가까운 방식으로 펼쳐지는 곡의 후반부는 이 노래가 ‘진짜’라는 사실을 느끼게 만들기에 충분하다. 핸드클랩과 퍼커션으로 만들어낸 비트가 유쾌한 업비트 팝 넘버인 ‘Stars’는 우리 모두가 빛나는 존재라는 이야기를 경쾌하게 풀어놓은 곡으로 코러스가 훌륭한 곡으로 손꼽을 만하다. 그리고 실질적으로 앨범의 마지막 곡인 ‘Mr. Hughes’는 레트로 R&B 사운드가 담긴 트랙으로 블루지하고 재지한 매력이 에이미 와인하우스(Amy Winehouse)를 일순 떠올리게 만들 만큼 빼어난 구성을 보여준다. 데미 로바토의 멜리스마 창법이 낯설지만 기분 좋은 충격을 선사하는 이 곡은 보컬에 살짝 힘을 빼는 것만으로도 이처럼 큰 변신이 가능한 그녀의 재능에 감탄을 금치 못하게 할 것이다. [Confident] 앨범의 전체적인 흐름과는 사뭇 다른 결을 지닌 곡이긴 하나 데미 로바토가 앞으로 선보일 음악에 대한 힌트라고 생각하면 환영할 수 밖에 없는 노래이기도 하다. [Confident] 앨범의 마지막을 장식하는 ‘Cool For The Summer (Jump Smokers Remix)’와 ‘Cool For The Summer (Suraci Remix)’는 과연 빌보드 댄스 차트 정상을 차지한 곡의 위용이 어떤 것인지 보여주는 리믹스라고 할 수 있다.

[Confident]는 데미 로바토가 자신이 성장하기 위해 무엇을 해야 할지, 그리고 그것을 어떻게 성취해 낼 수 있을지 알고 있다는 사실을 완벽하게 증명해낸 앨범이라는 점에서 그녀에 대한 기대를 더욱 크게 만든다. 앨범 수록 곡 대부분의 송라이팅에 참여하며 아티스트의 본연에 모습과 일치한 곡들을 쓰려는 노력도 가상하지만 또래의 아티스트들에 비해 단연 뛰어난 보컬 능력은 그녀가 비슷한 시기에 유명세를 얻은 이들에 비해 한걸음 앞질러 갈 수 밖에 없는 이유를 분명히 보여준다. 앨범 전체를 ‘자신감’과 관련된 메시지로 이어내며 유기적으로 엮어낸 뚝심도 훌륭하고, 기존의 이미지를 단번에 탈피하면서 새로운 모습을 만들어내는 기획력 역시 빛나는 작품이라고 하겠다. (글:장민경)"
2,Splendor In The Grass,Pink Martini(핑크 마티니),핑크마티니가 이끌어주는 선율을 타고 세계여행을 하다,"이 앨범은 우리나라에선 2010년에 발매된 인디 팝, 라틴, 재즈풍의 앨범이다. 핑크 마티니는 21세기 레트로 음악의 열풍을 이끌었다고 해도 과언이 아니다. 핑크마티니는 특이하게 앨범 수록곡을 한 언어로 통일하지 않고 영어, 불어, 중국어, 스페인어 노래를 수록하는데, 이는 나로 하여금 음악으로 세계여행을 하게하는 착각을 일으킨다.

이 앨범 또한 어떤 곡은 영어로 어떤 곡은 스페인어, 불어로 불려 마치 다양한 앨범을 듣고 있는 듯한 느낌을 준다. 특히 이 앨범의 타이틀곡인 ‘Splendor In The Grass’는 아름다운 꽃을 그린 앨범 자켓과 보컬이 잘 어울리며 고전적이고 우아한 선율이 아름다운 곡이다. 또한 ‘Bitty Boppy Betty’는 마치 미국 브로드웨이 뮤지컬을 연상시키는 경쾌하고 리듬감있는 곡이다. ‘Ou Est Ma Te’는 보컬의 매력적인 불어 발음을 들을 수 있는 샹송음악이다.

핑크 마티니는 하버드대학에서 역사와 미술을 전공한 토마스를 주축으로 총 12명의 피아노, 드럼, 바이올린, 트럼펫, 베이스, 하프, 퍼커션, 트럼본 등의 악기가 어우러져 풍부한 소리를 내며 작은 오케스트라라고 불리는 재즈밴드이다. 재즈를 좋아하는 사람들이라면 그들의 이름을 모르는 사람이 없을 것이라 생각한다. 재즈를 모르더라도 음악에 대한 폭넓은 이해를 가지고 있는 사람이라면 그들의 노래 중 ‘Hey Eugene’이라는 곡을 들어보았을 것이다. 그들은 재즈와 팝, 클래식까지 음악의 경계를 뛰어넘는 모습을 보여준다."
3,Bouquet,The Chainsmokers(체인스모커스),체인스모커스의 멜로디컬한 일렉트로닉 [Bouquet],"벅스가 선정한 2015년 11월 이달의 앨범 선정 작품. 일렉트로닉에 들이닥친 소포모어 징크스는 10월에도 이어졌다. 아비치(Avichii)가 무너졌고, 루디멘탈(Rudimental)마저 싱거웠으니까. 데뷔작으로 정상을 찍던 전자음악 뮤지션들의 도산과 같은 결과물들은 여러모로 실망감을 안겨다 줬다. 그렇다고 대중성 짙은 일렉트로닉 넘버가 아예 사라진 건 아니다. 별이 질 때쯤이면 또 다른 별이 떠오르는 법. 비록 풀 앨범이 아니라서 큰 기쁨을 전달했다고 보긴 어렵지만, 작년 '#Selfie'란 곡 하나로 씬의 루키로 우뚝 선 듀오 체인스모커스(Chainsmokers)의 미니앨범은 나름 허기를 달래기 충분한 EP다.

냉정히 짚자면, 팀의 색깔을 알아채는 것은 '#Selfie'가 더 또렷하다. 'Roses (feat. Rozes)'는 근래 EDM에서 자주 접할만한 구성의 트랙이고, 'Until You Where Gone (feat. Emily Warren)'에선 제드(Zedd)가 떠오르기도 한다. 첫 EP임에도 익숙한 기운이 감지된다고 할까. 그럼에도 기억에 남을 수밖에 없는 건 이제 막 활동 3년 차임에도 불구하고 멜로디와 전개 방식을 노련하게 조율했기 때문일 것이다. 대놓고 대중성을 노린 다섯 곡 모두 잘 빠졌기에, 일렉트로닉 팝을 듣고 싶어 하는 이에게는 이만한 알짜도 없을 터. 도전보다 안정을 택한 영리함이 조금 얄밉기도 하지만, 그 결과가 못나지 않아 절로 수긍되는 EP다."
4,WE,신화,데뷔 17년차 신화의 12번째 정규 앨범 [We],"그룹 신화의 앨범 [We]는 올해 2월 말에 발매된 정규 12집 앨범이에요. 무려 데뷔 후 17년이나 된 그룹으로서 그 내공이 음악에도 묻어나는 것 같아요. 2013년에 발매된 11집 이후로 근 2년 만의 앨범이라 그런지 많은 정성이 들어간 앨범이에요. 데뷔 17년과 12집 앨범이란 세월이 주는 의미 때문인지 [We]는 신화의 'This Love'와 'Venus'를 작곡했던 작곡가 앤드류 잭슨(Andrew Jackson), 런던 노이즈, 김도현 등 국외 아티스트까지 섭외해 국내외를 아우르는 실력파들과 함께 작업한 앨범이에요.

뮤직 비디오와 자켓 앨범 사진까지 신경을 안 쓴 부분이 없기 때문인지 앨범의 곳곳에 정성이 묻어나는 것 같아요. 타이틀 곡인 '표적'은 초반 부분의 휘파람 소리가 마치 서부영화의 카우보이를 연상하게 하는데 다른 멜로디나 배경음 없이 휘파람 소리만 나오기 때문에 확 집중하게 되는 것 같아요. 들어본 듯 하면서도 귀를 잡아끄는 멜로디의 휘파람이 정말 매력적이에요. 신비스럽기도 하고 카우보이 같은 분위기의 자유로움도 느껴지는 이 휘파람 소리가 곡 중간 중간에 들어가는데 댄스곡이지만 '표적'이라는 제목에 맞춰 절제된 매력이 있는 것 같아요. 쏙쏙 들어오는 비트와 랩과 노래가 반복되는 구성은 제목처럼 '표적'이 된 것마냥 귀를 잡아 끌어요. 정규 12집의 타이틀 댄스곡답게 밀고 당기기가 절묘한 내공이 있는 노래예요.

'White Shirts'는 발라드 곡으로 사랑했던 연인과의 추억을 떠올리는 곡이예요. 슬프고 아련한 멜로디와 부드러운 보컬이 잘 어울리는 곡이라 추천하고 싶어요. 'Don't Cry'는 urban pop으로 코러스와 함께 진행되는 멜로디가 약간은 몽환적인 느낌이 들어요. 목소리에 집중하고 싶을 때 들으면 좋을 곡인 것 같아요."
5,A Motown Christmas,Various Artists,모타운과 함께하는 즐거운 크리스마스!,"미국의 유명 레이블 <모타운 레코즈(Motown Records)> 소속 아티스트가 총출동하여 제작된 크리스마스 앨범이다. 두 장의 LP로 구성되어 1973년 발매된 첫 앨범에는 잭슨 파이브(Jackson 5)를 비롯하여 미라클스(Miracles), 슈프림스(Supremes) 등 6~70년대 활동한 모타운의 대표적인 아티스트들이 참여한 홀리데이 고전 싱글이 수록되어 있다. 본 앨범은 1992년 재발매 된 CD 버전으로 초판과는 달리 마빈 게이(Marvin Gaye)의 'I Want To Come Home For Christmas'가 보너스 트랙으로 수록되어 있다. 마이클 잭슨(Michael Jackson)의 앳된 목소리를 만나볼 수 있는 'Little Christmas Tree', 스티비 원더(Stevie Wonder)의 사랑스러운 트랙 'What Christmas Means To Me' 등 그루브하고 소울풀한 홀리데이 캐롤송을 감상해볼 수 있는 작품이다. 롤링스톤 선정 역대 베스트 크리스마스 앨범 3위를 차지한 크리스마스 시즌에 절대 지나쳐서는 안될 명반!"
6,그녀의 정원 Part 01,엘리케이 (Elli K),겨울날 잘 어울리는 따뜻한 목소리,"'소넷(Sonnet')이라는 노래를 가장 먼저 알게 되었는데 당시 팝페라라는 장르에 대한 이해가 없었어도 노래 자체가 너무 좋았다. 멜로디도 서정적인 가사도 참 좋았지만 무엇보다도 좋았던 점은 언노운드레스만의 목소리이다. 이번 미니 앨범에서도 서정적인 가사에 어울리는 따뜻한 목소리가 참 좋았다. 비 오는 날 보다는 눈이 내리는 겨울날이 더 잘 어울리겠다. 모든 소리를 고요하게 덮는 눈 내리는 날 'Still' 이나 '유성'만이 흘러나오는 날의 낭만은 비 오는 날의 운치의 곱절이 될 것이다.

추운 날 따뜻한 봄 날을 기다리며 'Still'을 들으면 막 시작된 겨울을 잘 보낼 수 있을 것 같다. 센티멘탈시너리와 함께 부른 '유성'은 이번 미니 앨범에서 가장 좋아하는 노래인데 슬픈 유성우가 밤 하늘을 건너지만 한 편의 영화를 본 것 같은 기분이 든다. 언노운드레스만의 편안한 목소리가 있는 그녀의 정원으로 초대합니다."
7,Every Open Eye [Special Edition],CHVRCHES(처치스),신스팝 밴드 처치즈의 두번째 앨범 [Every Open Eye],"벅스가 선정한 2015년 10월 이달의 앨범 선정 작품. 데뷔 앨범의 엄청난 성공에도 처치스는 초심을 잃지 않았다. 올해 초 밴드는 새 앨범을 녹음하기 위해 데뷔 앨범을 만들었던 바로 그 곳, 그들의 꿈이 시작된 고향 스코틀랜드 글래스고의 알루카드 스튜디오를 다시 찾았다. 이는 대개의 성공한 영국 뮤지션들이 미국의 최첨단 스튜디오에서 유명 프로듀서를 기용하여 작업한 것과는 대조되는, 순수하게 자신들의 자유로운 창작에 몰두하려 했던 멤버들의 단호한 마음가짐을 읽을 수 있다. 그리고 그 결과물은 물론 성공적이다. 과욕의 함정에 빠지지 않고 오리지널리티를 고수함으로써 소포모어 징크스를 정면 돌파하고 있다.

역시 멤버들이 직접 프로듀서를 담당한 앨범은 30곡의 데모 트랙에서 21곡의 후보곡을 선별했고 그 중에서 다시 엄선된 11곡(디럭스 버전에는 14곡)을 수록하고 있다. 약간의 변화라고 한다면 “비트”에서 “멜로디”로의 비중이 좀 더 높아졌다는 것, 대중성이 강화되었다는 표현도 틀린 것은 아니지만 보다 서사적이고 웅장한 사운드를 연출하려고 했던 밴드의 의도가 자연스럽게 반영된 결과로 나타난 것이다.

변함없이 이들의 음악을 명징하게 정의하는 것은 로렌 메이버리의 천사표 보컬이다. 예컨대, 제법 파워풀한 가창력을 선보이는 첫 싱글 ‘Leave A Trace’는 반전의 매력을 선사하며, 점차 고조되는 전개에서 역동적인 클라이막스로 치닫는 ‘Clearest Blue’에서는 (그녀 스스로 “눈물을 유발하는 댄스”라고 표현한 것처럼) 경쾌하면서도 슬픈 감정이 교차하는 노래의 아련한 감동을 이끌어낸다.

전형적(이지만 혁신적)인 신스 팝 트랙 ‘Never Ending Circles’과 ‘Keep You On My Side’, ‘Make Them Gold’와 ‘Empty Threat’, 몽환적인 처치스 표 발라드 ‘Down Side Of Me’와 ‘Playing Dead’, ‘Afterglow’ 등 그 어느 곡에서건 로렌의 보컬은 그저 사랑스럽기만 하다. 물론, 전자 음악 스페셜리스트 이안 쿡과 마틴 도허티가 주조하는 유려하고 총명한 사운드가 그것을 뒷받침하고 있기에 앨범은 처치스라는 믿음직한 존재의 훌륭한 결과물로 거듭난다.

거의 완벽했던 데뷔 앨범 [The Bones Of What You Believe]에 결코 못지 않다. 요컨대, [Every Open Eye]는 변함없는 위풍당당한 매력으로 처치스의 유효기간을 연장하는 것은 물론, 신스 팝이 더 이상 리바이벌이 아닌 바로 지금 현재 메이저 팝 씬의 대세라는 사실을 만천하에 고하는 작품이다."
8,The First Mind,씨야(SeeYa),"여성 SG워너비, 씨야의 [여인의 향기]","폭풍가창력으로 여성 SG워너비라고 불리우기도 했던 남규리(리드보컬), 이보람(보컬), 김연지(메인보컬) 3인조로 구성된 씨야의 첫번째 정규 앨범 '여인의 향기' 입니다. 이 앨범으로 씨야는 '여인의 향기', '구두'를 연이어 히트시키면서 SBS 가요대전, 서울가요대상, 골든디스크대상 등에서 신인상을 수상하기도 합니다. 이들이 데뷔 첫 앨범부터 큰 사랑을 받았던 이유는 노래가 굉장히 좋기도 했지만, 이효리, 싸이 등 유명가수들의 뮤직비디오를 제작한 차은택 감독이 촬영을 하고 하석진,김민준, 차예련 등 인기배우들이 출연하여 3분여라는 짧은 시간이었지만 마치 영화를 감상하는 듯한 임팩트 있는 뮤직비디오 영상과 노래가 어우러져 더 큰 인기를 끌지 않았나 싶습니다.

수록곡인 '사랑하기 때문에'는 당시 같은 소속사였던 SG워너비와 함께 부른 곡으로 씨야와 SG워너비의 애절한 목소리와 두 그룹의 완벽한 호흡으로 사랑하는 사람과의 이별을 잘 표현한 곡입니다. 그리고 수록곡 'Promise U'는 바이브의 1집 수록곡으로 씨야가 여성 버전으로 리메이크하여 다시 부른 곡입니다. 원곡 자체도 워낙 많은 사랑을 받았던 곡이었고, 거기에 씨야3명의 가창력과 개성이 더해져 바이브의 ‘Promise U’와는 색다른 ‘Promise U’를 들어보실 수 있습니다. 그 외에 ‘접시꽃’, ‘유죄’, ’이별해보기’, ‘내 잘못입니다’ 등 12곡 전부 2006년도에 발매되어 약 10여년 지난 곡이라는 생각이 전혀 들지 않을 정도로 매우 세련된 발라드 곡들이 수록되어 있습니다.

지금 씨야는 6여녀간의 활동을 끝으로 2011년 해체를 하였습니다. 더 이상 씨야 세 명의 맴버가 함께 발매하는 앨범은 들을 수 없어서 아쉽지만, 그들이 남긴 1집 [여인의 향기]를 들으면서 2006년의 씨야 명곡들을 회상해 봅시다."
9,Elvis' Christmas Album,Elvis Presley(엘비스 프레슬리),미국인이 가장 사랑하는 크리스마스 고전 앨범,"로큰롤 황제 엘비스 프레슬리가 남긴 두 장의 크리스마스 앨범 중에서 1957년 발매된 첫 홀리데이 앨범이다. 그의 네번째 스튜디오 정규작이기도 한 본 앨범은 발매된 이래 수차례 재발매를 거쳐 현재 미국에서만 1300만장의 총 판매고를 기록하며 빌보드 팝 앨범 차트 4주 1위, 1957년 크리스마스 앨범 판매량 1위를 달성하는 등 많은 사랑을 받았다. 현재 미국 레코드 협회(RIAA) 집계상 다이아몬드 판매고를 기록, 미국 역대 크리스마스 홀리데이 앨범 베스트셀러 순위 1위를 차지한 홀리데이 명반이다. 본 앨범은 RCA 레코드사에서 발매한 초판 발매작으로 크리스마스를 대표하는 'White Christmas', 'Silent Night'과 같은 고전 캐롤송을 비롯하여 엘비스 특유의 리드미컬한 로큰롤풍 사운드로 감상할수 있는 'Santa Bring My Baby Back (to Me)' 등이 수록되어 있다. 두 장으로 구성된 앨범의 첫면(1-6번 트랙)은 대중적인 고전 캐롤송으로 구성되어 있으며 두번째 면(7-12번 트랙)은 가스펠풍의 잔잔한 트랙들로 꾸며져 있다."
