,album titles,artists,cleaned_sentences
0,Rainbow Sign,Ron Miles,잔잔하다 확실하다 완벽하다 이상하다 어둡다 부드럽다 날렵하다 선명하다 깊다 특별하다 편안하다 따뜻하다 묵직하다 특정하다 헷갈리다 적당하다 흔하다 잔잔하다
1,Agüita,Gabriel Garzón-Montano(가브리얼 가르존-몬타노),신선하다 멀다 밉다 우아하다 절묘하다 건조하다 외롭다 새롭다 스럽다 탁월하다 짜릿하다 남짓하다 아깝다
2,Fake It Flowers,beabadoobee,반갑다 반갑다 강렬하다 확실하다 음산하다 많다 두드러지다 달콤하다 음침하다 비범하다 기대하다 이러하다 흥미롭다 새롭다
3,Portals,Sub Focus(서브 포커스) & Wilkinson(윌킨슨),아쉽다 여전하다 충분하다 얌전하다 평화롭다 가깝다 확실하다 넓다 건강하다 이렇다 새롭다 원하다 충분하다
4,Ohms,Deftones(데프톤즈),자유롭다 따끈따끈하다 놀랍다 인색하다 어떻다 좋다 부드럽다
5,Time for the Dancers,Russell Malone(러셀 말론),넘치다 넘치다 멋지다 무겁다 자유롭다 편안하다 적당하다 멋지다 영원하다 차분하다 흥겹다
6,Zeros,Declan McKenna(데클란 맥케나),탁월하다 비범하다 탁월하다 비범하다 그러하다 다양하다 성하다 경쾌하다 감미롭다 절묘하다 훌륭하다 그러하다 강하다 날카롭다 훌륭하다 짙다
7,King's Disease,Nas(나스),회복하다 주도하다 아쉽다 평범하다 다행하다 회복하다 부당하다 짧다 강렬하다 이렇다 못지않다 뛰어나다 부다 확실하다 건조하다 절묘하다 여전하다 착하다
8,Inner Song,Kelly Lee Owens,우아하다 반갑다 이러하다 확실하다 우아하다 어색하다 치열하다 어둡다 가볍다
9,연가,공중그늘,적당하다 적절하다 다르다 옳다 중요하다 다양하다 미묘하다 다분하다 거대하다 어수선하다 경쾌하다 자유롭다 덥다 뛰어나다 잡다하다 좋다 마땅하다 훌륭하다
10,Dear Schubert,신현필 & 고희안,자유롭다 많다 이렇다 꾸준하다 많다 다양하다 짧다 대단하다 익숙하다 유명하다 친근하다 푸근하다 정겹다 탄탄하다 자유롭다 유명하다 아쉽다
11,Let Me Dive Into This Moment,이루리,청량하다 그러하다 다재다능하다 청량하다 순수하다 솔직담백하다 따스하다 묵직하다 영롱하다 리드미컬하다 청량하다 섬세하다 자유롭다 청량하다 무심하다
12,The Sandwich Artist,담예(DAMYE),거대하다 소소하다 거창하다 탄탄하다 뚜렷하다 탁월하다 좁다 씁쓸하다 설레다 가볍다 진중하다 무겁다 절묘하다 여전하다 미미하다 확실하다
13,OCEAN,SURVIVE,새롭다 다르다 익숙하다 급하다 충분하다 넓다 이렇다 남다르다
