,album titles,artists,cleaned_sentences
0,Rainbow Sign,Ron Miles,따로 없이 특히
1,Agüita,Gabriel Garzón-Montano(가브리얼 가르존-몬타노),이른바
2,Fake It Flowers,beabadoobee,
3,Portals,Sub Focus(서브 포커스) & Wilkinson(윌킨슨),이미 그만큼
4,Ohms,Deftones(데프톤즈),언제나
5,Time for the Dancers,Russell Malone(러셀 말론),아무래도 많이 그중 너무나
6,Zeros,Declan McKenna(데클란 맥케나),
7,King's Disease,Nas(나스),언제나
8,Inner Song,Kelly Lee Owens,이미
9,연가,공중그늘,언제나 살짝살짝
10,Dear Schubert,신현필 & 고희안,그만큼 그야말로 특히 너무나도 의외로
11,Let Me Dive Into This Moment,이루리,없이
12,The Sandwich Artist,담예(DAMYE),특히
13,OCEAN,SURVIVE,
14,"""그랬고, 그렇게 언제나""",텔레플라이(Telefly),언제나 대놓고
15,Cheers For The Failures,메스그램(Messgram),오래
16,1,Deadbuttons (데드버튼즈),조금씩 없이
17,미술관,Lofibaby(로파이베이비),특히
18,The Universal Want,Doves(도브스),따로 그야말로 드디어 의외로
19,Live at Jazz First,고희안 트리오(KoHeean Trio),꽉꽉 특히 오랫동안
20,Gaslighter,The Chicks,오랜 되게
21,Lianne La Havas,Lianne La Havas(리앤 라 하바스),때때로 오랜 이미
22,SOUNDBWOY,DJ co.kr,특히
23,Just Coolin',Art Blakey & The Jazz Messengers(아트 블레이키 앤 더 재즈 메신저스),언제나 속속 그중 없이
24,가로사옥,KHUNDI PANDA,
25,B.B.H.E.,Hudson Mohawke,그야말로
26,Such Pretty Forks in the Road,Alanis Morissette(앨라니스 모리셋),많이
27,Women In Music Pt. III,HAIM(하임),그만큼
28,Dinner Party,Terrace Martin(테라스 마틴) & Robert Glasper(로버트 글래스퍼) & 9th Wonder & Kamasi Washington(카마시 워싱턴),그야말로 의외로 이미
29,RoundAgain,Joshua Redman(조슈아 레드맨) & Brad Mehldau(브래드 멜다우) & Christian McBride(크리스찬 맥브라이드) & Brian Blade(브라이언 블레이드),바로바로
30,"속꿈, 속꿈",신해경,그야말로
31,4,펜토(Pento),그중 특히 많이
32,What's Your Pleasure?,Jessie Ware(제시 웨어),이미 그야말로
33,TELEKID; on marble,레인보우 99(Rainbow 99) & NWIT,특히 특히
34,Lilac Hill,김수경,없이
35,Petals For Armor,Hayley Williams(헤일리 윌리엄스),한발 그나마 의외로
36,RTJ4,Run The Jewels(런 더 주얼스),또다시 언제나 자연스레 때때로 특히
37,how i'm feeling now,Charli XCX(찰리 엑스씨엑스),이미 없이
38,daydream,ABTB,그야말로
39,오늘밤 당산나무 아래서,추다혜차지스,없이 없이 씽씽 특히 없이
40,내면의 영화,서보경,언제나 없이
41,Good nights and Sad times,Faver(페이버),특히
42,통감,정수민(Sumin Jung),또다시 아마도
43,갈 곳을 잃어도 어디든 흘러갈 수 있게,최예근,오랜 특히
44,Rough and Rowdy Ways,Bob Dylan(밥 딜런),한껏 따로 언제나
45,DETOX,BILL STAX(빌스택스),한때 이미 이미
46,The Colours,핑크노이즈(Pinknoize),없이
47,Future Voice,히스(Hiss) & Madox,너무나 이미
48,Future Teenage Cave Artists,Deerhoof(디어후프),없이 꽉꽉 오래
49,Fetch The Bolt Cutters,Fiona Apple(피오나 애플),없이 없이
50,Cheers!,Franco Ambrosetti & Friends,오랜
51,A Billion Heartbeats,Mystery Jets,때때로
52,Pray For Paris,Westside Gunn,이미 특히
53,Duality,Duke Dumont(듀크 듀몬트),없이 드디어 없이
54,Big Vicious,Avishai Cohen(아비샤이 코헨) & Big Vicious,오래전 없이
55,Gigaton,Pearl Jam(펄 잼),
56,Superstar,Caroline Rose(캐롤라인 로즈),
57,The Slow Rush,Tame Impala(테임 임팔라),아직 없이 한동안
58,Have We Met,Destroyer(디스트로이어),오래
59,The Music of Wayne Shorter,Wynton Marsalis(윈튼 마살리스) & Jazz At Lincoln Center Orchestra,그야말로 이리 아직
60,WHO (Deluxe),The Who(더 후),울컥
61,color theory,Soccer Mommy,아직
62,Prophecy,Qwestlife(퀘스트라이프),그만큼 아직도 적어도
63,RUDEBWOY,CJ Fly,드디어 특히
64,SADAO 2019 - Live at Blue Note Tokyo,Sadao Watanabe(사다오 와타나베/渡邊貞夫),아직 없이 언제나
65,Countless Branches [Deluxe Edition],Bill Fay(빌 페이),오래도록 때때로
66,신나게 놀아보자,하헌진 밴드,
67,The Savoy 10-inch LP Collection,Charlie Parker(찰리 파커),
68,Melt (Deluxe),SHAED,그걸 없이
69,Fuck The World,Brent Faiyaz,
70,Blue Peter,AprilBlue,
71,titbit,코어매거진 (COREMAGAZINE),오래 없이
72,OTHERLiiNE,OTHERLiiNE & George Fitzgerald & Lil Silva(릴 실바),없이
73,Please Excuse Me For Being Antisocial,Roddy Ricch,언제나 자유로이 때때로
74,Sunlight,젠틀 레인(Gentle Rain),오랜 특히 없이
75,사랑으로,혁오 (HYUKOH),이미
76,Slow Dance,아슬(Aseul),없이
77,Plantlife,Andy Compton,조금씩
78,Circles,Mac Miller(맥 밀러),그중 기꺼이 적어도 한없이 특히
79,너와 나,루시드폴,없이 그만 그중
80,Beautiful days,밴드기린 (Bandgirin),
81,I,OurR(아월),말끔 없이 그만큼 말끔 아직
82,SONGBOOK,윤석철 트리오(SC Yun's Trio),언제나 오랜
83,VINIOR Vol. 002,Various Artists,사정없이 많이
84,토닥토닥 (Full Album),어른아이(Adultchild),오랜
85,FLAME,BLNK,오래 없이
86,We're dreaming,The Funcity(펀시티),드디어 그만큼
87,Live At Tone Studio,김성화 그룹(Kim Seong Hwa Group),그중
88,HYPER ROMANCE Vol. 1,Various Artists,한결같이
89,Serenade,선우정아(Sunwoojunga),
90,Every letter I sent you.,백예린 (Yerin Baek),그건
91,3,향니,특히 의외로
92,Step into my mind,노태헌(Taeheon Noh),오랜 아마도 언제나 오랜 많이
93,LUCID,JIDA(지다),따로 그만큼 특히
94,누워버릴까,잠비노 (Jambino),특히 그걸
95,초심 (初心),김훨,특히
96,서울시 여러분,9와 숫자들,틀림없이 가만히
97,무경계,COSMOS,
98,Escape,The Deep,수시로 지극히
99,"김현철 10집 ""돛""",김현철,
100,"Oh, Two Animals",오칠(Oh Chill),우연히 없이 그중
101,Chronology Of A Dream: Live At The Village Vanguard,Jon Batiste,
102,RENDEZ-VOUS,임현식 (비투비),없이
103,DEFINITION OF METHOD,메써드(Method),
104,Connexion [Jamais vu Remix],KONA,
105,살아 (SARA),얼돼(Errday Jinju),특히 그만큼
106,Your Portrait,강윤미,오랜 많이
107,Purpose - The 2nd Album,태연 (TAEYEON),그만큼 한발
108,Everyday Life,Coldplay(콜드플레이),그건 많이
109,Good Faith,Madeon(마데온),
110,The Baker,비앙(Viann),언제나 많이
111,나의 놀이터,강현규,오래
112,나의 모양,권진아,특히
113,항해,AKMU (악동뮤지션),한발 그야말로 특히
114,곡면,동양고주파,가히
115,999,전국비둘기연합,틀림없이 없이 오랫동안
116,37C,러브엑스테레오(Love X Stereo),특히
117,Limbo,Gill Chang,없이
118,리듬 + 플로우(Rhythm + Flow Soundtrack: The Final Episode) (Music from the Netflix Original Series),Various Artists,특히 아무리 아직
119,KAIROS,Nicole Bus,이미 그만큼 특히
120,Trilogy 2 (Live),Chick Corea(칙 코리아) & Christian McBride(크리스찬 맥브라이드) & Brian Blade(브라이언 블레이드),그해
121,Don't Explain,김민희,이미 특히 없이 특히 어디서
122,Pang,Caroline Polachek,
123,Wildcard,Miranda Lambert(미란다 램버트),
124,Ocean,Lady Antebellum(레이디 앤터벨룸),없이
125,All Mirrors,Angel Olsen(엔젤 올슨),아직 그야말로
126,Giants of All Sizes,Elbow(엘보우),특히 그중
127,Jeff Lynne's ELO - From Out Of Nowhere,Jeff Lynne's ELO,그해 그만큼 꽉꽉 뜬금없이
128,PRINCESS CATGIRL,Cashmere Cat(캐시미어 캣),많이
129,Cheeks & Lips,꼴라(CCOLA),한때
130,CODE#03 SET ME FREE,레이디스 코드(LADIES' CODE),이미
131,Sobrightttttttt,sogumm,그야말로 없이 없이
132,After Darkness,Sh8peshifter,아직 많이 그만큼 특히 우연히
133,Retropolitan,Skyzoo & Pete Rock(피트 락),없이 특히
134,Gunsan Gaka,Trio Works,많이 오래전
135,Blue World,John Coltrane(존 콜트레인),특히 그해
136,Common Practice (Live At The Village Vanguard / 2017),Ethan Iverson Quartet,많이 게을리 자연스레 오랜
137,Someone's EP II,Baynk,조금씩 그만큼
138,Saves The World,MUNA(무나),특히
139,The Highwomen,The Highwomen,
140,The Nothing,Korn(콘),한동안 조금씩
141,국보3호(國寶三號),Various Artists,적어도
142,In Cauda Venenum,Opeth(오페쓰),아직도 그건
143,화기엄금,사이먼 도미닉,
144,밭,오도마 (O'Domar),
145,Be Good,경기남부재즈(Southern Gyeonggi Jazz),많이 아마도 없이 촘촘히
