,album titles,artists,cleaned_sentences
0,Rainbow Sign,Ron Miles,아버지 마일 연주 후반 트럼페터 마일스 중견 연주자 위치 잡고 연주 밴드 사운드 능력 모든 평가 아티스트 구분 최근 트럼펫 초기 재즈 시절 연주 코넷 주로 연주 크기 트럼펫 음색 악기 금관악기 가지 코넷 래서 마일스 모든 연주가 발표 전작 시대 최고 연주자 영혼 파트너 기타리스트 프리셀 재즈 피아노 시대정신 대표 제이슨 모란 베이시스트 토마스 모건 환상 드러머 브라이언 블레이드 멤버 리더 중량 거장 오넷 콜맨 아버지 듀이 레드맨 자취 올드 드림스 조슈아 레드맨 프론트 코넷 연주자 마일 수록 타이틀 필요 완성 도입 부가 프리 워밍업 정상 궤도 오른 마라톤 주자 중반 선두 유지 멤버 시작 선두 격려 프리셀 리더 정도 연주 템포 욕심 오버 감정 유지 연주 연주 프리셀 스타일 연주 마일스 코넷 짜임새 연주 반려동물 무지개다리 마일스 여름 사망 아버지 간호 말로 감정 기복 연주가 아버지 마일스 마음 선정 선정
1,Agüita,Gabriel Garzón-Montano(가브리얼 가르존-몬타노),브리 존몬 올해 인상 블랙뮤직 가브리엘 존몬 소울 훵크 싱어송라이터 가브리엘 존몬 정규 올해 인상 블랙뮤직 존몬 근본 의미 얼터너티브 알앤비 만하 현재 정립 얼터너티브 알앤비 프로덕션 피비 알앤비 장르 설명 장르 코너 알앤비 얼터너티브 알앤비 대신 대표 스타일 범주 전위 알앤비 소울 전반 미니 사운드 소스 절제 스트링 조합 주조 프로덕션 몬타나 상치 피아노 연주가 순차 긴장감 형성 지점 이전 무드 화합 리프 난입 온기 마무리 앞서 언급 장점 고스 프로덕션 비선형 몬타나 매력 가운데 형성 감정 멜로디 라인 장점 집약 감흥 몬타나 통해 죽음 사랑 이별 관해 시적 가사 어머니 죽음 절망 사랑 시작 혼란 경험 표면 주제가 몰입 더욱 기억 이도 광합성 무드 충만 커버 아트워크 이도 전혀 선정 선정
2,Fake It Flowers,beabadoobee,전성기 추억 비바 두비 데뷔 슬래커 이즈 펑크 년대 얼터너티브 전성기 추억 베드룸 유망 평가 데뷔 돌연 트릭 스타일 선회 두번째 사이 후자 방향성 너바나 페이브먼트 유물 거리 리프 지고 년대 얼터너티브 전성기 여성 뮤지션 활약 시대 상기 크랜베리스 스타 환영 이즈 나탈리 임브룰리아 영감 매혹 버블 트랙 루카 솔트 냉소 크러쉬 재현 헤비 서사 응축 웅장 구성 미가 사이키델릭 드림 소닉 유스 실험 노이즈 도전 스무살 소녀 창작 더욱 여지 빌보드 싱글 차트 연주 중심 고전 면치 이기 도전 신인 뮤지션 등장 최근 마미 스네일 메일 찰리 블리스 소환 년대 얼터너티브 시대 향수 동경 유행 대감 선정 선정
3,Portals,Sub Focus(서브 포커스) & Wilkinson(윌킨슨),서브 포커스 윌킨슨 전자음악 의미 결론 정리 전자음악 의미 대중성 부분 장르 자체 드럼 베이스 기반 전자음악 관심 라면 올해 서브 포커스 드럼 베이스 뮤지션 윌킨슨 기대 등장 하진 가능성 뮤지션 소속사 의기 투합 결과 탄생 통일 흐름 단어 표현 서정 드럼 베이스 퀴드 펑크 공격성 장르 리듬 최대한 감상 온도 설명 음향 색채 세계 스튜디오 리얼 월드 작정 소리 컴퓨터 리얼 악기 효과 배합 드럼 베이스 사운드 스케 이프 공간 확장 드럼 베이스 소리 장르 기존 선사 자극 선정 선정
4,Ohms,Deftones(데프톤즈),데프톤즈 혁신 자체 데프톤스 커리어 장도 실망 주지 밴드 거짓말 데프톤스 결정 증거 데프톤스 발표 메탈 등장 순간 처음 홀딱 계속 정규 구입 에이 커브 운동선수 예술가 그로 데프톤스 법칙 예외 몸소 밴드 발매 데프톤스 여러 송라이팅 포스트 메탈 드림 팝뉴 메탈 자유 자재 장르 확장 표현 모든 요소 감탄 기억 데프톤스 도전 포스트 메탈 얼터너티브 교집합 전작 형식 자리 치노 동료 멤버 과감 과거 절연 밴드 미래 과감 트랙 여럿 앰비언트 뮤직 기운 트랙 크라프트베르크 펠리컨 혁신 자체 라디오헤드 코페르니쿠스 전회 헤비 니스 장르 계속 사운드 증강 보폭 데프톤스 힙스터 대변 웹진 피치 포크 만점 호의 평가 인용 데프톤스 가혹 자극 마음껏 데시벨 차원 국면 이르렀다 선정 선정
5,Time for the Dancers,Russell Malone(러셀 말론),러셀 말론 스윙 기타리스트 러셀 말론 재즈 가지 스타일 전통 중시 모던 재즈 트릭 요소 대거 수용 퓨전 재즈 파가 악기 메인 악기 퓨전 재즈 기타리스트 사랑 메스 스코필드 인기 재즈 이전 연주 명인 베니 굿맨 연주 재즈 시작 찰리 크리스찬 유럽 재즈 거장 장고 라인하르트 시작 모던 재즈 버렐 팔로우 패스 그랜트 그린 허브 엘리스 명연 퓨전 재즈 득세 스타일 주춤 년대 모던 재즈 부활 주장 신진 기타리스트 대거 등장 단연 기타리스트 러셀 말론 러셀 말론 활동 중반 오르가니스트 지미 스미스 밴드 연주 년대 재즈 신세 평가 활동 해리 코닉 주니어 다이애나 크롤 연주 러셀 말론 이름 재즈 각인 다이애나 크롤 트리오 연주 스윙 연주 대가 포스 선배 레이 브라운 트리오 동료 피아니스트 베니 그린 발표 러셀 말론 최근 발표 세션 전작 피아노 저먼 명과 쿼텟 편성 연주 빈틈 재즈 사운드 덕분 연주 선곡 유명 스탠더드 타이틀 선곡 연주가 타이틀 랜드 한나 발표 발라드 재즈 연주 템포 연주 뉴요커 조엘 분위기 독주 연주 호세 리치 중반 미국 시트콤 주제곡 연주 선정 선정
6,Zeros,Declan McKenna(데클란 맥케나),케나 청년 재능 클린 케나 문장 표현 글램 시대 향수 힙스터 감성 얼터너티브 정도 요약 데이빗 보위 비틀스 전설 선배 뮤지션 추억 블러 리버틴스 이어진 브릿 계보 관통 동시 라이벌 해리 스타일 신세대 감성 매력 청년 재능 레퍼런스 창의 조합 서사 파워 오프닝 사이키델릭 웅장 스페이스 오페라 낭만 서프 항적 펑크 교차 트랙 창작 사적 완성 메시지 데뷔 모든 취월 결과물 규율 사이 방황 청춘 자화상 소셜 미디어 의존 사회 의식 제기 직접 실명 거론 정치 비판 목소리 기후 변화 위험성 경고 한층 스케일 신세대 대변인 주제 의식 완성 디스토피아 세계관 통해 코로나 팬데믹 시대 의미 질문 이자 걸작 선정 선정
7,King's Disease,Nas(나스),나스 명성 완성 카니 웨스트 여러 아티스트 합작 프로젝트 일명 와이오밍 세션 화제 나스 작업 거장 작업 나스 정규 귀결 나스 제목 본명 야심 완성 나스 인터뷰 통해 당시 제한 작업 곡수 만족 결과물 그로 발표 열세 정규 명성 완성 제목 언뜻 팬데믹 시대 영향 주제 오늘날 흑인 사회 차별 폭력 비판 흑인 자긍심 고취 블랙 워드 비교 이미지 가사 대표 나스 데뷔 주제 사이 흑인 대상 백인 경찰 야만 행위 미국 사회 현실 년대 초반 울림 완성 도의 기복 나스 명성 프로듀서 히트 보이 양질 비트 년대 년대 힙합 나스 커리어 의미 역할 트랩 비트 위로 물감 신스 은근 긴장감 조성 라든지 거리 퍼커션 관악 단연 하이라이트 세기 힙합 클래식 불세출 래퍼 나스 상위 레벨 취향 성공 공략 선정 선정
8,Inner Song,Kelly Lee Owens,전반 후반 웨일스 소녀 켈리 정규 데뷔 적지 주목 발표 소포 모어 징크스 걱정 마음 기대 부응 전작 대비 콘셉트 더욱 표현 테크 하우스 아트 가지 집중 장르 분단 국가 모습 트랙 별로 교차 리스트 청사진 전반 후반 타이틀곡 음반 함축 그다음 상세 풀이 이자 타이틀 안내 내적 자아 분리 테크 하우스 진영 아트 장르 달라 표현 색채 포인트 장르 접근 구성 선정 선정
9,연가,공중그늘,공중 그늘 장르 정체 고집 공중 그늘 연가 공중 그늘 강점 스스로 언급 거리 두기 정선 유지 함몰 의미 공중 그늘 정규 연가 크게 오해 피해 감정 거리 정서 취한 명반 리스트 수백 개도 컬러 사운드 운용 모던 사이키델릭 드림 신스 장르 분기 장르 정체 고집 영민 전술 피시만즈 여러 레퍼런스들 영민 전술 도구 비트 가사 연주 의도 결과물 건축물 건설 관심 콘셉트 구축 열망 주목 무드 조성 변화 트랙 진실 밴드 물감 악기 정렬 사운드 배치 계절 안개 복고 신스 확인 사운드 멜랑콜리 사이 운동 갑작스레 연가 년대 후반 포스트 펑크 마주 직선 만화경 연가 이유 질서 밴드 라면 송라이팅 연주 통해 통제 증명 공중 그늘 이유 선정 선정
