,album titles,artists,cleaned_sentences
0,Rainbow Sign,Ron Miles,보내다 대다 되어다 가다 타고나다 쉬다 듣다 흐르다 모이다 빌다 느껴지다 담기다 책임지다 되어다 고르다 도르다 지니다 흐르다 뛰다 빌다 이끌다 나가다 늘다 빌다 늘다 죽다 건너다 쓰다 늘다 만들다 살아가다 크다 보내다
1,Agüita,Gabriel Garzón-Montano(가브리얼 가르존-몬타노),가다 가르다 가르다 가르다 늘다 가르다 담기다 갖추다 녹다 들다 가르다 어우러지다 떨어지다 입히다 보이다 앗다 드러나다 나아가다 가르다 건드리다 오다 곱씹다 가르다 느끼다 헤어지다 알다 건지다 올리다 높이다 느끼다 이끌다 믿다 들다
2,Fake It Flowers,beabadoobee,늘다 받다 잡다 오다 매다 불다 오다 훔치다 오다 돋보이다 남기다 훑다 크다 오다 가다 해내다 불다 오다 갖다
3,Portals,Sub Focus(서브 포커스) & Wilkinson(윌킨슨),나오다 놓다 만들어지다 두다 들다 싶다 늘다 맞다 갖다 가지다 끌다 내다 가지다 만들다 내다 가지다 들다 들다 가지다
4,Ohms,Deftones(데프톤즈),넘다 들다 빠지다 버리다 알려지다 찾아오다 알다 들다 돌리다 들다 가로지르다 해보다 숨다 찾아내다 늘다 잡다 싶다 내다 돋보이다 보이다 느껴지다 가다 만나다 넓히다 내리다 해보다 빠져들다 넘어서다
5,Time for the Dancers,Russell Malone(러셀 말론),받다 넘다 이어지다 되어다 오다 펼치다 들다 손꼽다 대다 받다 느껴지다 대다 늘다 들려주다 들다 어울리다 어울리다 늘다 자다 빌리다 늘다 살리다 알다 불다 사랑받다
6,Zeros,Declan McKenna(데클란 맥케나),크다 풀다 내다 오다 불다 아우르다 해내다 만들다 내다 오다 뽐내다 느껴지다 그리다 내다 오다 높이다 오다 넓히다 깨다 드리우다 던지다
7,King's Disease,Nas(나스),가다 모으다 돼다 세우다 보이다 나오다 밝히다 늘다 도르다 보여주다 느껴지다 겪다 심다 돋보이다 놓다 잇따르다 치다 주다 맞다 쏟다 아우르다 가다 크다 느껴지다 얹히다 맞다 물리다 내놓다
8,Inner Song,Kelly Lee Owens,거치다 받다 앞서다 돼다 다루다 놓다 짜이다 싶다 들다 거치다 다루다 돕다 나뉘다 싸우다 만들다 지나치다
9,연가,공중그늘,잡아먹히다 두다 넘다 꾸리다 어울리다 떠오르다 내주다 끼다 나가다 자다 들다 보이다 뿌리다 깔리다 넘어가다 만나다 떠오르다 잃다 해내다 들다
